SQL,database,question
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );,geo,"what is the biggest city in the smallest state
"
SELECT t1.border FROM border_info AS t2 JOIN border_info AS t1 ON t2.border  =  t1.state_name WHERE t2.state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );,geo,"what states border states that border the state with the largest population
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""Question Answering"";",scholar,"Show me the papers on Question Answering
"
SELECT count(*) FROM team_franchise WHERE active = 'Y';,baseball_1,"Find the number of team franchises that are active (have 'Y' as ""active"" information).
"
SELECT Name FROM WINE ORDER BY Score LIMIT 1,wine_1,"Give the name of the wine with the highest score.
"
SELECT T2.country FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id GROUP BY T2.country_id HAVING count(*)  >=  3,sakila_1,"What are the countries that contain 3 or more cities?
"
SELECT Product_Name FROM Products ORDER BY Product_Price DESC LIMIT 1,solvency_ii,"What is the name of the product with the highest price?
"
SELECT Hispanic FROM city WHERE Black  >  10,county_public_safety,"What are the percentage of hispanics in cities with the black percentage higher than 10?
"
"SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""",film_rank,"What are the titles and studios of films that have been produced by a studio whose name contains ""Universal""?
"
SELECT T2.Weight FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Money_Requested DESC,entrepreneur,"What are the weights of entrepreneurs in descending order of money requested?
"
"SELECT Area ,  County FROM APPELLATIONS",wine_1,"List the area and county of all appelations.
"
"SELECT location_code ,  date_in_location_from ,  date_in_locaton_to FROM Document_locations",cre_Doc_Tracking_DB,"Show the location code, the starting date and ending data in that location for all the documents.
"
"SELECT dept_name ,  budget FROM department WHERE budget  >  (SELECT avg(budget) FROM department)",college_2,"Find the name and budget of departments whose budgets are more than the average budget.
"
SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Bob',network_2,"Find the name of persons who are friends with Bob.
"
SELECT sum(t1.amount_claimed) FROM claim_headers AS t1 JOIN claims_documents AS t2 ON t1.claim_header_id  =  t2.claim_id WHERE t2.created_date  =  (SELECT created_date FROM claims_documents ORDER BY created_date LIMIT 1),insurance_and_eClaims,"How much amount in total were claimed in the most recently created document?
"
"SELECT T3.Player_name ,  T2.coach_name FROM player_coach AS T1 JOIN coach AS T2 ON T1.Coach_ID  =  T2.Coach_ID JOIN player AS T3 ON T1.Player_ID  =  T3.Player_ID",riding_club,"Show the names of players and names of their coaches.
"
SELECT avg(active_to_date - active_from_date) FROM customer_contact_channels,customers_and_addresses,"What is the average time span of contact channels in the database?
"
SELECT DISTINCT building FROM classroom WHERE capacity  >  50,college_2,"Find the buildings which have rooms with capacity more than 50.
"
SELECT name FROM stadium ORDER BY capacity DESC LIMIT 1,swimming,"Find the name of the stadium that has the maximum capacity.
"
"SELECT population FROM state WHERE state_name  =  ""california"";",geo,"how many citizens live in california
"
SELECT document_id FROM Documents EXCEPT SELECT document_id FROM Documents_with_expenses,cre_Docs_and_Epenses,"What are the ids of documents which don't have expense budgets?
"
"SELECT t2.house_number  ,  t1.name FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""mountain view"" AND t1.food_type  =  ""arabic"" AND t1.rating  >  2.5;",restaurants,"where are some good places for arabic in mountain view ?
"
"SELECT nationality ,  count(*) FROM swimmer GROUP BY nationality HAVING count(*)  >  1",swimming,"List countries that have more than one swimmer.
"
"SELECT count(*) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.StuID  =  Class_Senator_Vote WHERE T1.Sex  =  ""M"" AND T2.Election_Cycle  =  ""Fall""",voter_2,"How many male (sex is M) students have class senator votes in the fall election cycle?
"
"SELECT Open_Date ,  Open_Year FROM shop WHERE Shop_Name  =  ""Apple""",device,"List the open date of open year of the shop named ""Apple"".
"
"SELECT DISTINCT t4.citedpaperid  ,  COUNT ( t4.citedpaperid ) FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN cite AS t4 ON t3.paperid  =  t4.citedpaperid WHERE t1.keyphrasename  =  ""parsing"" GROUP BY t4.citedpaperid ORDER BY COUNT ( t4.citedpaperid ) DESC;",scholar,"Paper on parsing with most citations
"
SELECT home_city FROM driver GROUP BY home_city ORDER BY count(*) DESC LIMIT 1,school_bus,"Show the home city with the most number of drivers.
"
SELECT count(DISTINCT acc_type) FROM customer,loan_1,"How many distinct types of accounts are there?
"
"SELECT Major ,  count(*) FROM Student GROUP BY Major HAVING count(Major) BETWEEN 2 AND 30;",restaurant_1,"Which major has between 2 and 30 number of students? List major and the number of students.
"
"SELECT T2.first_name ,  T2.last_name FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T1.city = ""Damianfort"";",driving_school,"What is the first and last name of all employees who live in the city Damianfort?
"
"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",hospital_1,"Find all procedures which cost more than 1000 or which physician John Wen was trained in.
"
"SELECT District_name ,  City_Population FROM district WHERE City_Population BETWEEN 200000 AND 2000000",store_product,"What are the district names and city populations for all districts that between 200,000 and 2,000,000 residents?
"
SELECT T3.manager_name FROM station_company AS T1 JOIN company AS T2 ON T1.company_id  =  T2.company_id JOIN gas_station AS T3 ON T1.station_id  =  T3.station_id WHERE T2.company  =  'ExxonMobil',gas_company,"Show the manager name for gas stations belonging to the ExxonMobil company.
"
SELECT channel_code FROM customer_contact_channels GROUP BY channel_code HAVING count(customer_id)  <  5,customers_and_addresses,"List all the contact channel codes that were used less than 5 times.
"
SELECT population FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );,geo,"what is the population of the state with the highest population density
"
SELECT major FROM Student GROUP BY major ORDER BY count(*) DESC LIMIT 1,allergy_1,"Which major has most number of students?
"
SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1,product_catalog,"Which catalog content has the highest height? Give me the catalog entry name.
"
SELECT ObjectNumber FROM railway WHERE Railway_ID NOT IN (SELECT Railway_ID FROM train),railway,"List the object number of railways that do not have any trains.
"
SELECT * FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer  =  T2.code,manufactory_1,"Select all the data from the products and each product's manufacturer.
"
SELECT count(*) FROM climber,climbing,"Count the number of climbers.
"
"SELECT T1.first_name ,  T1.last_name ,  T3.city FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id JOIN locations AS T3 ON T2.location_id  =  T3.location_id WHERE T1.first_name LIKE '%z%'",hr_1,"display those employees who contain a letter z to their first name and also display their last name, city.
"
"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name",customers_and_invoices,"What are teh names of the different products, as well as the number of customers who have ordered each product.
"
"SELECT title FROM course ORDER BY title ,  credits",college_2,"Given the titles of all courses, in order of titles and credits.
"
"SELECT T2.Party FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.Committee  =  ""Appropriations"" INTERSECT SELECT T2.Party FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.Committee  =  ""Economic Matters""",election,"Which parties have delegates in both the ""Appropriations"" committee and the ""Economic Matters"" committee?
"
SELECT T1.Date_of_ceremony FROM music_festival AS T1 JOIN volume AS T2 ON T1.Volume  =  T2.Volume_ID WHERE T2.Weeks_on_Top  >  2,music_4,"Please show the date of ceremony of the volumes that last more than 2 weeks on top.
"
"SELECT population FROM city WHERE city_name  =  ""boulder"";",geo,"what is the population of boulder
"
SELECT count(*) FROM scientists WHERE ssn NOT IN (SELECT scientist FROM AssignedTo),scientist_1,"How many scientists do not have any projects assigned to them?
"
"SELECT DISTINCT t1.paperid FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2015 AND t2.venuename  =  ""pldi"";",scholar,"what papers are published in pldi 2015
"
SELECT StuID FROM Participates_in INTERSECT SELECT StuID FROM Student WHERE age  <  20,activity_1,"Show the ids for all the students who participate in an activity and are under 20.
"
SELECT T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  <  (SELECT avg(balance) FROM checking),small_bank_1,"What are the names of customers with checking balances lower than the average checking balance?
"
"SELECT T1.invoice_date ,  T1.order_id ,  T2.order_details FROM Invoices AS T1 JOIN Orders AS T2 ON T1.order_id  =  T2.order_id",customers_and_invoices,"Show invoice dates and order id and details for all invoices.
"
SELECT name FROM Aircraft WHERE distance  >  (SELECT avg(distance) FROM Aircraft),flight_1,"Show names for all aircrafts with distances more than the average.
"
SELECT Name FROM Products,manufactory_1,"Select the names of all the products in the store.
"
"SELECT DISTINCT t2.datasetid FROM paper AS t3 JOIN paperdataset AS t2 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""jitendra malik"";",scholar,"what datasets did jitendra malik use ?
"
"SELECT COUNT ( DISTINCT t3.title  ) FROM director AS t2 JOIN directed_by AS t1 ON t2.did  =  t1.did JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t2.name  =  ""Quentin Tarantino"" AND t3.release_year  >  2010;",imdb,"How many movies did "" Quentin Tarantino "" direct after 2010 ?
"
"SELECT County_name ,  Population FROM county",election,"What are the name and population of each county?
"
SELECT count(DISTINCT Governor) FROM party,election,"Count the number of distinct governors.
"
"SELECT t2.name FROM domain_author AS t4 JOIN author AS t1 ON t4.aid  =  t1.aid JOIN DOMAIN AS t3 ON t3.did  =  t4.did JOIN organization AS t2 ON t2.oid  =  t1.oid WHERE t3.name  =  ""Databases"";",academic,"return me all the organizations in Databases area .
"
SELECT T2.title FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID WHERE T1.stars BETWEEN 3 AND 5,movie_1,"What are the titles of all movies that have between 3 and 5 stars?
"
SELECT Name FROM People ORDER BY Height ASC,perpetrator,"What are the names of people in ascending order of height?
"
"SELECT T1.surname ,  T1.driverid FROM drivers AS T1 JOIN pitstops AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  =  11 INTERSECT SELECT T1.surname ,  T1.driverid FROM drivers AS T1 JOIN results AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  >  5",formula_1,"What are the drivers' last names and id who had 11 pit stops and participated in more than 5 race results?
"
"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;",driving_school,"List all customer status codes and the number of customers having each status code.
"
"SELECT t1.clubname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t3.sex  =  ""F"" GROUP BY t1.clubname ORDER BY count(*) DESC LIMIT 1",club_1,"Which club has the most female students as their members? Give me the name of the club.
"
"SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",product_catalog,"Find the names and publication dates of all catalogs that have catalog level number greater than 5.
"
SELECT name FROM station WHERE lat  <  37.5,bike_1,"What are the names of all stations with a latitude smaller than 37.5?
"
"SELECT T2.company ,  count(*) FROM station_company AS T1 JOIN company AS T2 ON T1.company_id  =  T2.company_id GROUP BY T1.company_id",gas_company,"For each company id, what are the companies and how many gas stations does each one operate?
"
"SELECT DISTINCT t3.paperid  ,  t3.year FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""deep learning"" ORDER BY t3.year DESC;",scholar,"Most recent deep learning conference ?
"
"SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning"" INTERSECT SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Night""",program_share,"find the program owners that have some programs in both morning and night time.
"
"SELECT count(*) FROM club WHERE clublocation  =  ""HHH""",club_1,"How many clubs are located at ""HHH""?
"
SELECT Occupation FROM player GROUP BY Occupation ORDER BY COUNT(*) DESC LIMIT 1,riding_club,"Please show the most common occupation of players.
"
SELECT staff_details FROM Research_Staff ORDER BY staff_details ASC,tracking_grants_for_research,"What details are there on the research staff? List the result in ascending alphabetical order.
"
SELECT name FROM storm WHERE storm_id NOT IN (SELECT storm_id FROM affected_region),storm_record,"What are the names of storms that did not affect any regions?
"
